Review,Avg Entity Sentiment,Actual,Predicted
Raymond was very helpful in every way he can . He made me very comfortable and ensured that everything was taken care. I appreciate all his help and would recommend him in any other opportunities that you may have.,0.8499999940395355,1,1
"I've stayed in this hotel for several times. I always love staying at this hotel, great location, surrounded by many places to eat, not very crowded with tourists, just perfect! on my last stay 14-17 August 2023, a very nice lady at the reception made my day! i love you Oonah! i had a late flight then she gave me late check out. she was super kind and super great! thank you Oonah!",0.5499999910593033,1,1
"Our first stay took 3 days. After that we were travelling further, but we knew that we needed an additional two night stay in Singapore before our flight back home. We immediately thought of the Amara hotel because we had such a nice stay. So even before we went further in our vacation we started talking about another visit. The employees were so nice and helpful. We also met Raymond, who really helped us out. He even helped us picking out some sightseeing stuff, which by the way are all in a very short radius near the hotel. To make a long story short it was the ideal hotel for us:)",0.2888888931936688,1,1
"Awesome experience and great service. Leslie and Sunny were awesome hosts. The breakfast, the stay and the service was top notch and that's what makes Amara different that others. A must visit for all..",0.7333333359824287,1,1
Excellent service by Oonah at the reception. Really loved the helpful nature in assisting us with accomodation and helpful in providing insghts on places to visit. Overall an amazing experience 🙂🙂🙂. Would recommend to book this hotel for family visits.,0.7299999952316284,1,1
"Wonderful hotel with very helpful hotel staff. Raymond in particular looked after us, giving tips on transport, where to eat and sent us off for a fabulous massage across the road. My friend wanted to try durian, which he organised. He wanted me to try, but I wasn't game enough! Would stay again!",0.46999999806284903,1,1
Excellent service by Oonah very friendly and accommodating. All in all it was an Awesome stay highly recommended Amara as a family accommodation in Singapore. Spectacular views from the rooms. Highly highly recommended.,0.6555555595291985,1,1
"I was surprised by the appearance of a well-known hotel in Singapore... the interior seems old and devices like television had to be modernized. Beside, the bathroom fitting was found to be old and rusty. It is time to upgrade. I appreciated the friendly and helpful staff during my stay at this hotel.",0.1600000001490116,2,2
"We booked 2 rooms in Amara for our 7 days stay last week. It was a smooth check in with the help of people at reception. Shout out to Raymond and Joshua who were helpful in assisting us with our queries and concerns. For Indians, there is no hassle, as there are 2 indian restaurants 'wow biryani & Gravy' are within 500 mtrs and they deliver till 2 AM. Please order food from Grab in case you don't feel like going out. Indian restaurants I ordered from was Kailash Parbat and Sonaa Grill. Amara is connected to a mall called 100 AM with full of Cafes, bakery, Japanese restaurants and the most loved part which is Fairprice shop 😜 China Town is 1 km away and it is surrounded by all pubs and restaurants. We had an enjoyable stay at Amara and I would suggest people to pick this",0.30277778373824227,1,1
A place to truly relax and enjoy the great advantages of Singapore. Great faculties and locations to all 5 star and hawkers you need. Staff are passionate and professional and make sure your stay is easy and comfortable. Go the club level for fitness first access and free laundry.,0.6750000057121118,1,1
"Huge shoutout to Raymond who went above and beyond to help us with a matter. Stayed at the hotel 3 years ago, but needed help now and he went through the records and sorted out an issue for us. Huge thanks to him and the helpfulness!",0.41111110399166745,1,1
"Super fast check inn, amazing hospitality, very well assisted by oonahand yamon and all queries addressed emphatically and promptly by Mr Sunny. Go for new premier rooms. Good location Spacious rooms Good concierge n luggage assistance.",0.8555555476082696,1,1
Amazing customer service. Raymond has an amazing personality and is outgoing. Getting to us asking about our day attending to our needs. As my first time here I was take aback as how the place looks and how clean it is. I would suggest this place to my friends and family,0.3777777718173133,1,1
The facilities are rather outdated but it is compensated for by its location and most of all the hospitality of the staff. The managers such as Raymond have helped to meet my needs during my 60 day stay at the hotel. Will revisit.,0.24000000581145287,1,1
"Nicest and most friendliest hotel staff ever. The front office, food and housekeeping guys are just a bunch of humble and honest people. This hotel is a gem in the city. Old is gold. Heritage and Simplicity.",0.6000000009169946,1,1
"Great location, with plenty food outlets nearby and adjoining the hotel. Stayed in the 2 bedroom apartment, very spacious. Could use the pool while waiting for our room to be ready. Big thank you to Raymond for his hospitality and care. He was very friendly and accommodating to assist us during our stay. Will recommend Amara to Family and friends.",0.6142857202461788,1,1
Our company was holding a training at the hotel for 6 whole days. The trainer had specially flown down from Arizona for this training. The hotel staff were so kind and attuned to all our needs especially the trainer who is in his 70s and has mobility challenges. I was especially impressed with Raymond from the front desk and Rajeev who was in charge of the banquet. Highly recommend the hotel to host your trainings,0.3705882412545821,1,1
"Great location, close walking distance to MRT and many eateries. Even nighttime activities like walking around the CBD at night is pleasant, get to see beautiful architecture and nice buildings, walk to LauPaSat for food. Really not a boring location day or night. The hotel rooms are abit old, but they are currently undergoing refurbishment exercise starting at Level 6 (I believe). The hotel staff at front desk are courteous and helpful, and made us feel very comfortable. In this age and time, many service levels leave much to be desired but the staff at Amara SG reminded me how amazing hospitality feels like. Special thanks and mention to Bernard Goh and Richard at front desk. These 2 gentlemen went above and beyond to ensure me and my family were well taken care of and they",0.5518518529004521,1,1
"First time in amara , location very good. Room are comfortable. Staff helpful . Raymond was very welcoming the moment we arrived for check in . Made my daughter felt happy during stay as he will always greet us . Thank you",0.5875000059604645,1,1
"We stayed in Amara in ‘08 & we came back to stay here again. The hotel is fantastic, warm, lively & it’s ideal for families. The guest relation’s & customer service is fantastic - understanding, cordial & courteous The hotel rooms are well maintained.",0.616666667163372,1,1
We stayed for almost four days and loved our stay here. Raymond in particular for wonderful and helped us keep us bag as we had to take a quick break to Bintan. The location of the hotel is wonderful and staff is extremely courteous.,0.6375000029802322,1,1
"Great hospitality and service from the staff. Easy access hotel with lots of facilities nearby. Close to good restaurants, shopping mall and post office. Excellent experience for a family with small kids!",0.776923078757066,1,1
Reception was helpful. Housekeeping was very very good. Only drawback was the Key cards which hardly worked. It works to take you to the 15th floor but not to Access the rooms. It was tiring to have to troop down with bags to reactivate the cards.,-0.02500000037252903,1,2
"the pillows felt great, location is close to the city which made it so easy for us. making our way to the nearest tourism center wasn't hard and we’re able to get there in a very short time. Our experience was amazing.",0.6166666696468989,1,1
"Very good hotel, check in with muz he is good staff, will come back. Room is beautiful and nice shower. Very near train station And also alot of food in the area Lobby very nice too good for photo",0.6600000023841858,1,1
AMARA Hotel Singapore is Home away from Home . Location The best Hotel stay stay in the heart of the city. The Metro station is next to the hotel and the Bus stop is opposite to the hotel. Centrally Located 150 meters to Tanjing pagar Metro station .The Bus stop is just outside the hotel. The Rooms and Bathrooms ar big and very spacious and clean . The property is super perfect in all terms . The Property is big and huge and centrally located which makes it a big plus. I would specially mention few names who I had interacted with during my stay in july 2023. The front desk staff right from the Top Genaral Manager Mr . SUNNY SRA is Great Human Being and takes care of the guest personally and is committed and gives his 100 percent . He is very kind and,0.45666666328907013,1,1
"The Club Suite is dated and needed refurbishment. Having said that, all things are still functional. Our stay however has been made pleasant by the excellent service given by the staffs, in particular Raymond who has attentive and patience in addressing all the questions asked especially on parking exit issue. We would like to thank Raymond for his great hospitality.",0.4583333432674408,1,1
Painfully slow. Then check in process took 40 minutes and there was not even much of a queue. They have crazy systems. Make sure you have enough time to stand in a frustrating small but slow moving queue if you are planning to book this hotel.,-0.26000000536441803,0,0
"Raymond, at the front desk was great. He saw thst we had two large suitcases and boxes of mangoes and he proactively assisted to make our check in a smooth and comfortable experience. When he heard we were attending a wedding dinner, he thoughtfully asked if we needed an angpow packet, and gave us one! He was also there when we checked out three days later and gave us recommendations on what we can do before our flight four hours later. A real service professional who is able to anticipate customers' needs. We enjoyed our stay very much. Great location, comfortable room, nice restaurant and wonderful staff!",0.48421052333555725,1,1
"Hotel location was in the middle of everyting and i arrived at night, and lobby was very nice. Was checked in by joshua and he was a very nice guy. Room is good too. Augustine was also very helpful by calling us a taxi.",0.6124999932944775,1,1
Strategic location. Smooth check in process but room was a little old. Joshua was friendly and helpful at the front desk helping us as the concierge don’t seem to be around. Breakfast was a spread too.,0.07500000204890966,1,2
"We have 2 night stay at Amara Singapore , our stay was very comfortable . Staff were so smiling &helpful . My lock get struck when I am checking out . Mr Raymond at front desk was so helpful & arrange a technical team to assist us . I really appreciate their efforts . 👍👍for their efforts & will recommend this hotel . They have robot to serve as well .",0.6272727318785407,1,1
"Arrived during evening, long queue but Joshua was fast and helpful during check in. Room wasn’t that clean but location is very good. Breakfast good too. Hotel is old and needs renovation but service make it up.",0.5000000041392114,1,1
"Reception people provided warm welcome, kind and flexible service, breakfast with many kinds of food, room is tidy and old fashion decoration. The location is quite convenient, not far away from the airport.",0.75,1,1
Great stopover and absolutely fabulous staff. We arrived quite late after our flight was delayed. Staff were fabulous we requested a late checkout- no problem. The breakfast in the morning had everything anyone could wish for from Asian delights to western cuisine and everything in between. Pool area was great. Room was spacious with a nice firm mattress and large bathroom. Would stay again,0.6687499992549419,1,1
Amazing staff and hospitality. Oorna and Sunny were especially welcoming and friendly and supportive. Got a free upgrade and early check in which really helped because we had a lot of luggages. The location is fantastic and the facilities are good.,0.7099999904632568,1,1
the hotel is very good and everything looks great and the staff is very cooperative and friendly and mr Raymond is very nice and generous person it was a very nice experience meeting him he is funny and at the same time very warm and welcoming we loved the hospitality at Amara and would love to visit again.,0.6000000238418579,1,1
Good hospitality and ambiance GREAT SUPPORT FORM THE STAFF AND VERY NEAR TO THE MRT and China Town;halal food is available in the same complex and almost all.shoppi g center are near by : Support the guests,0.1111111127667957,1,2
Had a lovely stay at amara hotel. Raymond especially went above and beyond to make our stay comfortable and anticipate what we needed. He saved my feet for the rest of my trip with his life hacks as well. Would highly recommend!,0.5000000037252903,1,1
"I stayed for 3 and a half weeks for a business trip and greatly enjoyed my stay. The hotel had nice facilities, large rooms, and a great buffet breakfast. Raymond was very kind and helpful throughout my whole stay.",0.6875000046566129,1,1
Our stay was amazing and the front desk team especially Raymond was exceptional and accomodating with our needs. However would be amazing if the hotel would update and add more international power points will be prefect. I like the location and other amenities such as the gym too.,0.6199999868869781,1,1
"Mr Raymond is professional and assisted me in all matters that I've encountered. He's awesome. Excellent service, great hospitality provided as he goes the extra mile for us. Very grateful and appreciated . Thank you",0.7400000095367432,1,1
We stayed at Amara Singapore for two nights and we found the rooms to be very clean tidy and most of all comfortable. The staff were all very friendly and a big shout out to Oonah she was amazing. The pool and gymnasium were really nice and well equipped. Thanks again for a wonderful stay and Oonah you really went above and beyond. Will come back here to stay again,0.8454545357010581,1,1
"Had buffet last night, Tues, not very crowded. Short buffet spread. Presentation looks boring. The menu should be looked into, its boring and not value for $. Pest, fruit files were seen on the buffet table near the rabbit decoration. It was flying over the pastries.. look’s unhygienic.",-0.18333333233992258,2,2
"Great experience at the hotel! The staff was really polite especia mr . Raymond . Thankyou for such a great experience Highly satisfied the food was great and so were the amenities, will surely visit again and recollections all to do so thankyou",0.7444444364971585,1,1
"We had a wonderful stay at Amara with my family and it was especially great because of the reception staff - Oonah. She was amazing and a real credit to Amara Hotel, so helpful and lovely. She is what made our stay at Amara so great. Thank you Oonah.",0.7999999970197678,1,1
"Our family stayed in the 2 bedrooms & 2 bathrooms suite for 4 nights. The size of the room is big that has a size-able living room between the 2 bedrooms. The room is clean & well equipped. The location is convenient- surrounded by shopping mall next to hotel, food court across the street, supermarket is inside the shopping mall, bus stops right outside and metro stations within 5 minutes walk. The famous Maxwell hawker center and Chinatown is about 8 minutes walk as well. Big thanks to Raymond, he greeted us and gave us tips where to eat & visit every morning.",0.343478264692037,1,1
"On 9 June 2023, order ala cart menu from hotel restaurant ELEMENT. Must try their recommendation from master chef Zhen. The food prepared by Chef Zhen was very delicious. I will go again soon. Many thanks to the great service level by Jessy from local heritage.",0.533333334657881,1,1
"Really comfortable hotel at a great price in a great location, staff are very very friendly and give great customer service, ice and wine glasses bought to room super quickly, Raymond at reception was very helpful and informative, the location 5 minutes walk from the station made getting around Singapore super easy, after a day sight seeing the hotel pool was a great place to relax, room had slippers and dressing gown with good quality soaps and shampoo and plenty of charging points, large bed and spacious room with fridge. Breakfast was included with good variety of English type food, tea coffee and juices in a buffet style and you could eat as much as you wanted, a shopping centre faces the hotel with a good supermarket selling beer and wine, I tended to order water when",0.699999988079071,1,1
"Dear, I am writing to express my deepest gratitude for the exceptional services and delectable dinner experience I recently had at your establishment. The evening was nothing short of extraordinary, and I wanted to take a moment to extend my sincere compliments and appreciation. Thank you to Jessy waitress from on Tras. And every dish presented before me was a masterpiece in both presentation and flavor. The attention to detail and the use of fresh, high-quality ingredients was apparent in each bite. The chef's creativity and skill were truly showcased in every dish, leaving me in awe of their talent. Thank you for wonderful dinner Chef Chen",0.7839999890327454,1,1
"I stayed in the Premier Executive rooms for 10 days while waiting for my renovation work to complete. I was under doctor’s order to stay out of carpeted rooms, so I approached the concierge staff, Ms Siti who kindly attended to me, while Ms Oonah granted me a free upgrade. During my stay, Nathan had helped me with the luggage, Raymond & Joshua had been very helpful with the parking arrangements, not forgetting the housekeeper Hong Yue for taking good care of my room. Totally appreciated the team for their dedication & going the extra mile to make my stay a memorable & joyfully happy one. Many thanks to the Amara Singapore team. Proud of you.",0.5304347769073818,1,1
The staff member named Raymond was of excellent help during mine and my partner’s stay. Especially considering that we celebrated my partner’s birthday at the hotel. The care and welcome was amazing during such. Another point would be how helpful he and the staff was in making sure our stay was a stay to remember.,0.4357142879494599,1,1
"We had a great stay at Amara Singapore. We were going to leave the luggage at the hotel to head to town but Mr. Raymond managed to get us a room, even though it wasn't even at 10 am! During our 3 days stay there, he remembered us and greeted us each time. Nice and friendly people there. It's a great location for everything so I hope to come back to stay again when I have a chance to visit Singapore.",0.43333333482344943,1,1
"Great service. Raymond was very accomodating to us. We have been staying in this area previously, yet we were able to learn about new localities and travel tips from staff. We got settled in, nice and early. Do not hesitate to ask for help from the friendly staff.",0.2499999962747097,1,1
"We stayed in club room for 5 days. Nice hospitality from the hotel. Check in process was done very fast by Ms Oanah. I wish to express my thanks to her . The room is very spacious and breakfast was good. One suggestion is they can add more vegetarian dishes. The hotel is situated In a prime area , nearer to MRTS and shopping areas.",0.36428571385996683,1,1
"We used the Amara Singapore to host a client conference this year and it certainly did not disappoint. Prior to our arrival and long after we left the hotel the staff were incredibly accommodating and diligent and catered to our ever need. The entire team, with Raymond (Concierge Team) and Roland (Banquet Manager) in particular, were exceptional throughout. My colleagues and I also stayed at the hotel for the week surrounding the conference and cannot compliment it highly enough. The rooms were very clean, comfortable and a great size to be able to work from also. We can't recommend the Amara highly enough and hope that we are lucky enough to return again for future conferences/stays! Thank you very much, from the Lorena and the team at Forum Global",0.7263157751999403,1,1
"Great location!!! Chinatown, close to all the great hawker centres, shopping, restaurants and bars. Location was easy to get to places the hustle and bustle of the city centre. Hotel itself is very dated, but we liked the convenience of the location. Checking in was very quick and easy! The doorman was quiet funny and exceeded in service hailing us a cab every time! We didn’t take pics of the room as it wasn’t that great! But!!! The bar within the hotel was absolutely amazing!!! Definitely made up for the room.",0.490000008046627,1,1
"During my stay at Amara the hotel room and facilities were well maintained, the only down side is that the room didn’t have usb charger and wall socket accessible near the bed. And also the senior staff Raymond, was helpful and friendly to assist me with my lost and found item which I left it in the bathroom.",0.20000000235935053,1,1
"Had an event at Amara Singapore today and Jeffrey Goh was very helpful and efficient! Great service and he was very quick in meeting our needs - always there to assist! Great job, well done 👍🏻 Thank you!",0.8166666527589163,1,1
"Excellent experience. Came to this hotel after a gap of 5 years and still the same in terms of cleanliness, amenities and service. Joshua from the front desk from super helpful in the check-in process. Rooms with upper floors give a better view. Was pleasantly surprised and happy to see Robots delivering amenities every time. This is in the business district of Tanjong Pagar so anyone having business meetings there, better to take this option.",0.23809523632129034,1,1
"Great service and support by Mr Raymond during my check in.I am on staycation with my 2.5YO girl who running around lobby. Mr Raymond was taking good care of my daughter during my check in and made a nice cute hairband ballon for her. Before we entered lift, he is kind enough to serve her complimentary dessert as well .( my girl finished it ) The next day during our breakfast time, he is very friendly to my girl and keep an eye on her when I need to walk to pick up the food. Raymond carries a nice and warmth smile in his face! He never failed to greed my little baby girl. With her customer service skill, we would like to highly recommend her work and support to be recognized.",0.4090909131548621,1,1
"We were very well received by the entire AMARA's team and we received a special service of honor from Mr. Raymond WOO, a big thank you for his availability, his kindness, his advice and his professionalism... He fully deserves his gold medal !",0.6909090822393243,1,1
"Awesome customer service from Raymond, did beyond and above in helping to recover lost item. Even recommend and explain Amara type of rooms and clubs offered. A big thumbs up to Raymond, definitely a great CS and a friend to speak to. Keep up the good work and making this a pleasant stay to us.",0.6153846113727643,1,1
"We hosted a small 25pax event at Amara. The service and technical staff gave excellent service. we had a miscomm n told the hotel to serve tea break at 4pm instead of 1.45pm. manager, Jeffrey Goh and his team managed to prepared everything in time on short notice. Mr Goh’s professionalism and calm demeanour truly gave us assurance. thank you for making the day a success! we look forward to coming back. :)",0.44705883019110737,1,1
- Very welcoming reception staff that goes all they way to help you out. - Special thanks to the head of reception staff (Mme Judy Tan) and Raymond for their very friendly advice and discussions - Excellent food during lunch time. Very extensive choice for breakfast - Comfortable beds. Room cleaning quite satisfactory and could be improved further. - Very good quality amenities in the bathroom.,0.7000000001146243,1,1
"We stayed there for 3 nights. The lobby looked clean and modern, but our room was dark and dingy. There was a layer of dust clinging to the headboard and light fixtures. During our stay, the water in our shower and sink would not drain - it was disgusting. Luckily, the tub and toilets were working normally. We had to shower, wash our faces, and brush our teeth using the tub.",-0.18000000218550363,2,2
"The breakfast was well spread. Would like to compliment Raymond (concierge) for his excellent service, He reached out to customers needs and even recommend the kind of room for our next visit . He quickly post my concerned for my lost goggles into the group chat and within a few minutes my goggles was found. Thank you, Brandon (restaurant manager) , for the birthday cake . Have a pleasant stay and will visit the hotel again . Bravo 👏 to all staffs who always put ona smiling smile 😊",0.5550000056624412,1,1
The welcoming at the hotel was warm. The people at the reception are very friendly and they accommodate you with all your requests. Both the supervisor and the staff are very child-friendly. We had a splenty time and my kids 3njoyed being at the lobby with them each time we waited for our transport.. The location is amazing!! It is at the center of most hot location! We advise it for business and family stay. We will surely visit again. Thank you for making our stay memorable and easy.,0.3250000006519258,1,1
"The location is good, close to mrt , food store and the hotel staff are very kind and helpful, especially Raymond. Definitely our first choice in Singapore. Although room a bit old , but is clean and comfort. Would suggest they change a harder pillow.",0.6800000131130218,1,1
"Came back Amara after 4 years and felt warm welcoming still. The amenities and facilities are worth every pennies. One thing needed to improve is the breakfast, would need to add more variety of foods. Shout out to RAYMOND at concierge, he always delivered the best services to us. Will definitely stay at Amara every time I visit Singapore because of Mr. RAYMOND. Thank you!",0.5916666674117247,1,1
"One of the highlights of staying in the Amara is Raymond, possibly the most helpful concierge on the island, always present and anticipating your needs, amusing a thoroughly nice man! Can recommend the Amara as a result.",0.633333338631524,1,1
"The bed was extremely good, it was hard, not that soft, but its perfect for me. The TV was the only problem. It was pretty small. There wasn’t any problem with it and It works. We had to change it a couple of times, ended up changing the whole TV XD. Thank you Uncle Raymond for your excellent service and your excellent social skills.",0.31111110084586674,1,1
"Cosy place with great service and nice food. Special mention to Raymond from the font desk who was extremely accommodating, genuine and warm. I was gracefully give a late checkout. Definitely will come back again!",0.7999999906335559,1,1
"Our stay in Singapore was unexpected and extended. I did some online research for hotels within walking distance of Singapore General Hospital and came up with the Amara Hotel. The hotel staff was very responsive to our situation and went above and beyond what I've ever experienced: Oonah who was a manager, Keith, and especially Bernard. Any maintenance needs were tended promptly. Our room was comfortable and quiet. We felt the Amara was good value for dollar, and we discovered what a great location it was so we kept extending our stay. It has a lovely lap pool, a generous breakfast buffet, and the restaurant had exceptional Satay and Chicken and Rice. The fresh pressed green apple juice was a treat. We liked that it was not an enormous hotel, but more modest. The elevators",0.43214286650930134,1,1
Reservation was a breeze with requests attended to in a timely manner. Impeccable service (thank you Raymond and associates) coupled with their attention to details is a class act. Going the extra mile to pamper their guests is part of their business as usual professional etiquette. Well done and keep up the excellent work!,0.5928571511592183,1,1
